Z,mus,mup,mum,phis,phip,phim
0.7821,0.0188117035265096,-6.33377155496712,-5.63754179234362,0.934133303084743,0.00179425059328489,0.00418956581361901
0.7823,0.0188115031950169,-6.33377177289661,-5.63754511268264,0.931831170273568,0.0017867851935739,0.00427121824508482
0.7825,0.0188113487775249,-6.33377195777671,-5.63754918606162,0.929269493750921,0.00177609205494172,0.00435987367568001
0.7827,0.0188112590593158,-6.33377210509397,-5.63755410933815,0.92643148952872,0.00176178440798621,0.00445582062549805
0.7829,0.0188112524985175,-6.33377222036789,-5.6375599709947,0.923301449687349,0.00174354451024574,0.00455936994455959
0.7831,0.0188113460293022,-6.33377232328149,-5.63756684586416,0.919865040272802,0.00172114558851302,0.00467086360967348
0.7833,0.01881155402836,-6.3337724509979,-5.63757479008146,0.916109562378251,0.00169446833683138,0.00479067991175778
0.7835,0.0188118875634602,-6.33377265993728,-5.63758383656466,0.912024166549677,0.00166351032182989,0.00491923389131694
0.7837,0.0188123539814569,-6.33377302550898,-5.63759399132923,0.907600014681627,0.00162838757667947,0.00505697258302617
0.7839,0.0188129568283071,-6.33377363963292,-5.63760523091969,0.902830387694464,0.00158932863083209,0.00520436536328871
0.7841,0.018813696043057,-6.33377460624517,-5.63761750124877,0.897710740963303,0.00154666203815261,0.00536189030585999
0.7843,0.0188145683406827,-6.3337760353079,-5.63763071806592,0.892238712321818,0.0015007990122381,0.00553001784507296
0.7845,0.0188155676957321,-6.33377803601064,-5.6376447691797,0.886414089318556,0.00145221302023909,0.00570919319873777
0.7847,0.0188166858519906,-6.33378070991473,-5.63765951838847,0.880238743276529,0.00140141816090291,0.00589981894558235
0.7849,0.0188179128066339,-6.33378414473168,-5.63767481087556,0.873716537751954,0.00134894793367463,0.00610223894831682
0.7851,0.0188192372393915,-6.33378840926134,-5.63769047965515,0.866853218428236,0.00129533567630271,0.00631672453088572
